1	65536	198.135	159.805	757.385	704.803	36	1
2	51496	134.671	85.2008	668.499	610.436	36.05	1.99971
3	44722	137.762	69.5854	710.389	626.425	39.9504	2.99902
4	40463	126.041	75.983	692.855	627.685	40.0002	3.99768
5	37442	129.854	69.4621	703.889	663.052	40.1734	4.99647
6	35141	125.124	62.6429	709.428	688.711	43.0427	5.99519
7	33306	131.268	82.4776	764.787	688.435	43.9938	6.99351
8	31795	121.245	74.9096	762.73	773.361	44.116	7.99116
9	30518	120.879	72.1323	783.013	716.2	45.5081	8.98778
10	29420	130.965	65.6322	806.424	991.468	47.8329	9.98511
11	28461	124.486	65.8317	803.661	767.225	48.0232	10.9829
12	27612	148.196	62.2103	855.751	778.14	48.4395	11.9786
13	26854	120.168	80.1657	904.781	801.333	50.3985	12.9762
14	26171	121.623	76.344	891.368	806.236	51.9084	13.9697
15	25550	127.75	73.3255	912.407	830.568	52.1116	14.9658
16	24983	129.128	73.9378	938.918	819.918	52.9792	15.9595
17	24462	125.255	69.3416	951.476	853.283	54.6721	16.9567
18	23980	127.148	68.3255	944.787	845.413	55.8285	17.9504
19	23534	127.433	66.9781	1011.9	872.355	56.1259	18.945
20	23117	126.227	63.6155	957.52	932.733	56.7757	19.9406
21	22728	125.088	63.2679	977.121	916.887	58.2848	20.929
22	22364	127.169	60.7734	1008.63	934.404	59.6276	21.9266
23	22020	124.75	59.5249	1006.86	953.088	60.0981	22.9177
24	21697	126.746	61.9786	1005.48	986.542	60.679	23.9096
25	21391	121.687	73.9171	1133.65	998.083	61.978	24.9015
26	21101	124.117	74.5553	1125.54	1027.34	63.3629	25.8956
27	20826	131.326	72.0929	1134.98	989.916	64.028	26.8863
28	20564	131.978	69.9489	1210.46	1017.02	64.5896	27.8768
29	20315	125.08	69.1047	1166.92	1036.82	65.716	28.8685
31	19849	127.563	66.6029	1157.44	1049.17	67.8916	30.8438
32	19631	123.58	65.5102	1204.27	1069.58	68.4672	31.8362
33	19422	126.66	63.1181	1268.72	1107.4	69.2236	32.824
35	19028	126.077	61.3637	1226.09	1086.82	71.3416	34.8053
36	18843	132.41	61.3122	1347.98	1196.41	71.9856	35.7972
38	18492	136.113	62.8992	1398.01	1236.26	73.3952	37.7704
40	18165	124.525	61.6653	1413.6	1279.93	75.3854	39.7485
41	18009	132.934	60.4237	1441.72	1288.47	76.064	40.732
43	17714	129.446	59.4576	1415.94	1281.25	77.5509	42.7041
45	17436	132.886	59.8557	1465.3	1385.07	79.4384	44.6784
47	17174	152.789	56.4906	1505.88	1424.36	80.8352	46.6429
49	16927	131.565	64.0288	1604.6	1421.52	82.6334	48.6156
52	16580	143.546	62.2819	1709.35	1497.71	84.9339	51.5744
54	16364	147.947	67.0849	1689.38	1492.36	86.7177	53.5365
56	16159	124.018	61.8419	1705.3	1462.84	88.2812	55.4997
59	15868	172.233	58.052	1653.08	1458.91	90.7933	58.444
61	15685	144.724	56.3763	1676	1497.1	92.3445	60.4096
64	15425	128.558	55.2573	1747.36	1663.79	94.873	63.3539
67	15181	129.24	55.5997	1927.8	1719.98	96.8661	66.2832
70	14952	138.443	58.2751	2021.67	1748.06	99.0094	69.2224
73	14735	126.773	55.4639	1873.29	1691.75	100.976	72.1613
76	14530	128.286	56.2502	1900.21	1701.31	103.117	75.0866
79	14336	132.952	53.4407	1976.14	1815.43	105.104	78.0098
83	14092	121.984	52.4257	2000.57	1852.9	107.898	81.9124
87	13863	132.439	53.0669	2030.73	1950.8	110.569	85.7848
91	13648	121.336	51.3363	2138.7	2009.89	113.281	89.689
95	13445	124.135	50.3909	2110.45	1996.43	116.074	93.5731
99	13253	124.047	61.7211	2746.25	2186.67	118.757	97.4431
103	13072	127.983	57.9836	2851.74	2069.92	121.467	101.312
108	12858	121.947	56.8071	3072.17	1737.6	124.898	106.162
112	12697	119.556	52.9625	2963.69	1955.9	127.572	109.999
117	12505	120.912	51.4071	3077.01	1910.04	130.971	114.843
123	12290	125.631	49.444	3061.11	1857.2	135.015	120.588
128	12120	119.307	48.3041	3303.47	1973.93	138.395	125.394
134	11929	122.223	46.5234	3359.96	1999.58	142.308	131.156
140	11748	124.787	44.8015	3386.02	2063.5	145.652	136.901
146	11578	128.779	46.9744	3575.14	2110.55	148.99	142.658
152	11417	129.456	44.4219	3631.95	2249.72	152.249	148.342
159	11240	125.178	45.1773	3806.58	2164.77	155.999	154.981
166	11073	125.079	41.7568	3805.29	2188.57	159.87	161.62
173	10915	125.332	42.1915	3868.53	2326.61	163.707	168.256
181	10744	121.37	41.0446	4115.04	2384.49	168.001	175.834
189	10584	125.094	39.7015	4243.76	2457.58	172.315	183.383
197	10432	123.754	39.5119	4241.28	2444.98	176.593	190.867
206	10272	127.239	37.1233	4398.95	2515.58	181.39	199.307
215	10120	127.569	37.6326	4524.31	2552.08	186.171	207.738
225	9961	125.59	37.6522	4718.8	2631.26	191.496	216.997
235	9812	128.72	35.1025	4958.01	2666.63	196.751	226.305
245	9670	122.958	34.9349	5056.26	2864.84	202.093	235.643
256	9524	123.583	34.5332	5179.23	2823.39	207.81	245.712
267	9385	127.437	34.0678	5259.03	2888.44	214.745	255.862
279	9243	129.287	33.0988	5853.29	2998.05	221.471	266.882
292	9098	123.763	32.5109	5468.01	3045.94	226.779	278.708
304	8971	123.509	32.1467	5694.46	3295.51	231.659	289.591
318	8832	125.906	31.4683	5947.24	3214.33	237.319	302.3
332	8700	128.966	30.7032	6040.92	3371.26	242.997	314.903
347	8568	130.252	31.5782	6321.31	3370.68	248.915	328.33
362	8442	129.353	29.7375	6492.3	3586.59	254.81	341.775
378	8316	131.073	29.5841	6846.08	3662.94	261.107	355.994
395	8190	127.106	29.7124	7157.75	3773.14	267.824	370.981
412	8071	128.98	29.2023	7187.09	3888.12	274.343	386.063
431	7945	124.733	28.2966	7312.27	3951.67	281.648	402.557
450	7827	122.78	28.3937	7523.06	4180.53	288.823	419.05
470	7710	123.217	27.9115	7696.63	4216.47	296.41	436.422
490	7599	123.437	27.6758	8004.47	4401.24	303.779	453.627
512	7483	123.747	27.1621	8192.84	4554.06	311.886	472.35
535	7370	122.659	27.2646	8457.67	4839.76	320.186	491.658
558	7263	123.503	27.1364	5952.64	4527.19	333.054	511.235
583	7153	116.455	26.7273	2760.94	4043.9	344.872	531.928
609	7045	116.395	26.2765	2759.97	4112.85	352.127	553.519
636	6940	116.715	26.3983	2764.55	4134.01	359.671	575.65
664	6836	116.296	26.0311	2889.12	4089.96	367.434	598.313
693	6735	117.743	25.9607	2994.51	4345.66	375.657	621.985
724	6634	116.822	25.743	2932.32	4168.83	384.096	646.731
756	6535	116.144	25.8146	3062.74	4371.08	392.75	672.277
790	6435	117.483	25.3519	3100.08	4291.53	401.835	698.583
825	6339	116.107	25.4368	3016.72	4236.47	411.313	726.11
861	6246	124.88	25.4247	2974.06	4396.89	420.746	753.696
899	6152	116.547	25.3574	2975.29	4271.62	430.107	782.586
939	6060	116.007	24.7948	2943.89	4161.55	436.284	812.544
981	5968	119.471	24.649	2983.91	4158.18	442.543	843.693
1024	5880	116.667	24.4828	3016.33	4175.17	449.34	875.542
1069	5793	116.175	24.6118	3014.16	4566.03	455.903	907.713
1117	5705	116.214	24.3842	2993.51	4316.04	462.999	941.7
1166	5620	116.192	24.1535	3051.42	4301.07	470.428	976.5
1218	5536	116.149	24.5991	3273.66	4369.76	478.281	1012.64
1272	5453	117	24.0056	3061.8	4242.99	486.256	1049.25
1328	5372	116.902	24.2729	3185.41	4397.06	494.856	1087.2
1387	5291	121.149	24.2623	3209.6	4374.6	503.3	1125.85
1448	5212	116.846	24.1409	3211.63	4268.99	510.99	1166.07
1512	5135	116.65	23.8992	3177.8	4300.49	518.252	1206.22
1579	5058	117.833	23.7451	3257.41	4360.02	526.278	1248.76
1649	4982	116.62	23.8898	3269.57	4407.27	534.394	1291.86
1722	4907	116.568	23.9051	3236.19	4395.56	542.49	1335.68
1798	4834	116.88	23.8859	3283.2	4269.14	549.04	1380.79
1878	4762	116.128	23.7036	3190.68	4313.1	554.617	1427.15
1961	4691	116.819	23.8765	3211.47	4519.29	560.31	1474.17
2048	4620	116.667	23.7752	3351.08	4450.22	566.193	1522.84
2139	4551	116.458	23.7257	3350.47	4369.15	572.343	1571.43
2233	4483	117.332	23.7986	3275.93	4583.76	578.727	1621.36
