1	65536	330.475	49.0265	427.551	742.279	303.604	392.014	0	1	48	
2	51496	256.564	27.6915	402.847	734.348	321.889	379.816	0	1.99783	63.9652	
3	44722	248.289	24.3132	404.79	773.534	361.075	418.608	0	2.99242	79.8787	
4	40463	258.409	21.254	403.974	865.655	392.754	484.467	0	3.98488	95.758	
5	37442	269.777	21.4038	411.33	830.458	358.047	475.402	0	4.9754	111.606	
6	35141	245.383	20.9869	471.074	818.702	338.636	489.485	0	5.96286	127.406	
7	33306	251.156	113.287	495.526	852.729	472.678	504.414	0	6.94572	143.131	
8	31795	252.524	99.8978	483.535	831.514	502.846	517.125	0	7.93147	158.903	
9	30518	224.818	87.1289	501.311	880.693	483.485	539.878	0	8.91074	174.572	
10	29420	244.528	89.2862	493.882	873.623	469.001	562.271	0	9.88494	190.159	
11	28461	226.204	80.6462	530.586	943.537	521.169	584.133	0	10.8605	205.768	
12	27612	247.863	69.7644	536.47	947.45	447.269	605.353	0	11.8353	221.365	
13	26854	241.23	123.365	580.1	968.571	636.516	618.12	0	12.8066	236.905	
14	26171	229.529	127.576	581.063	956.975	677.773	596.729	0	13.7755	252.408	
15	25550	231.115	116.232	599.804	973.933	663.131	607.084	0	14.7418	267.869	
16	24983	217.028	112.917	558.62	940.84	629.708	617.1	0	15.7055	283.288	
17	24462	227.823	104.445	600.482	994.113	609.721	615.076	0	16.6645	298.633	
18	23980	231.193	100.507	571.852	1023.19	630.609	643.036	0	17.6246	313.993	
19	23534	236.551	92.3412	717.855	1053.84	611.031	671.072	0	18.5803	329.284	
20	23117	256.91	91.7745	604.923	1051	680.971	695.203	0	19.5329	344.526	
21	22728	234.644	85.9921	628.168	1063.05	636.088	690.91	0	20.4901	359.842	
22	22364	222.098	84.71	605.571	1067.12	663.701	756.349	0	21.432	374.912	
23	22020	229.564	81.2601	812.398	1165.99	649.864	802.089	0	22.3837	390.139	
24	21697	237.36	82.6862	631.885	1127.39	606.535	762.363	0	23.324	405.183	
25	21391	233.182	101.624	740.498	1146.56	756.72	739.984	0	24.2632	420.212	
26	21101	220.89	114.245	769.016	1128.43	829.345	718.307	0	25.2083	435.333	
27	20826	231.153	117.106	804.763	1098.48	888.937	734.995	0	26.1459	450.334	
28	20564	238.037	113.706	831.793	1129.35	891.315	759.92	0	27.0732	465.172	
29	20315	241.595	107.446	832.488	1136.6	892.641	763.623	0	28.0101	480.162	
31	19849	240.365	102.347	812.787	1173.71	917.427	790.619	0	29.8698	509.917	
32	19631	218.685	101.846	810.657	1144.77	867.505	802.71	0	30.8064	524.903	
33	19422	255.947	97.9988	822.366	1230.51	882.195	832.458	0	31.7326	539.721	
35	19028	232.815	93.3887	880.071	1234.39	889.321	916.386	0	33.5529	568.847	
36	18843	234.251	88.7981	827.31	1232.45	914.345	942.047	0	34.4812	583.7	
38	18492	240.374	86.7957	884.815	1283.64	917.91	963.173	0	36.3193	613.109	
40	18165	217.231	83.7792	833.636	1324.91	873.053	1007.05	0	38.1118	641.789	
41	18009	238.436	84.3115	841.302	1345.72	869.065	1030.37	0	39.0219	656.351	
43	17714	232.641	80.1219	860.619	1406.85	859.715	1052.84	0	40.8329	685.326	
45	17436	225.052	76.3873	855.93	1396.02	871.129	1108.57	0	42.6397	714.234	
47	17174	223.244	75.2857	855.537	1475.49	821.765	1110.87	0	44.4261	742.818	
49	16927	233.414	73.1617	883.323	1526.61	814.379	1144.68	0	46.1875	771	
52	16580	239.445	91.1664	1043.24	1420.69	1167.31	1114.54	0	48.8392	813.427	
